Component,Failure,DefectivePart,PartsReplaced,Cost,DealerComment_English
INFOTAINMENT,INCORRECT ADJUSTMENT,MONITOR,0,46,RECL Navi fails temporarily REASON Incorrect setting CORRECTION Perform update
INFOTAINMENT,SHORT CIRCUIT,MONITOR,2,998.28,DAMAGE TYPE NAVIGATOR DOES NOT WORK CAUSE DIAGNOSIS CTR ELECTRICAL SYSTEM NIS CHECK DONE PROCEDURES KA4721/4903 (ECONOMY) OPEN THD106411275/THD106480294 CTR AS PER THD AG DAILY REPLACE NIS IN SHORT CORRECTION REPLACE NIS
INFOTAINMENT,DEFECT,RADIO,1,767.39,RECL Driver complains that the radio is completely black and stops working while driving REASON Radio defective CORRECTION defective radio replaced
INFOTAINMENT,DEFECT,MONITOR,1,1222.69,RECLAIM NIS switches itself on and off while driving REASON NIS defective CORRECTION NIS renewed and programmed via Teleservice
INFOTAINMENT,BREAK,Fictiotus - IVOR,1,945.85,DAMAGE TYPE JAWLA MDO+PARTS BALANCE CAUSE -RECIVOR CORRECTION JAWLA MDO+PARTS BALANCE
INFOTAINMENT,BREAK,Fictiotus - IVOR,1,945.85,DAMAGE TYPE JAWLA MDO+PARTS BALANCE CAUSE -RECIVOR CORRECTION JAWLA MDO+PARTS BALANCE
INFOTAINMENT,NO WARNING,DUMMY MATERIAL FOR CAUSAL PART,0,79,RECL NIS fails REASON Software error CORRECTION Update via usb port.
DISPLAY,LOOSE RETAINER,CABLE STRAP,10,91.82,RECL REAR VIEW CAMERA MONITOR LOOSE / CABLE LOOSE REASON FACTORY FASTENING HAS COME LOOSE CORRECTION MONITOR REATTACHED AND WIRING SECURED
DISPLAY,SHORT CIRCUIT,RADIO ACCESSORIES,1,1865.675677,INCIDENT CAMERA PROBLEMS CAUSE INTERNAL SHORT CIRCUIT SOLUTION REPLACE CAMERA AND MONITOR
DISPLAY,DEFECTIVE CONTACTS,RADIO ACCESSORIES,1,1100.6,COMPLAINT DISPALY STOPS AND FLATTERS CAUSE DISPALY SCHADH CONTACT CORRECTION MULTIMEDIA KIT ERS
DISPLAY,BREAK,LIGHTBULB SET,1,133,INCIDENT several bulbs burn out CAUSE wear SOLUTION replacement
DISPLAY,DEFECT,KIT,1,513.85,COMPLAINT Sat Nav not operating. Refer to Attached PDF for Full text and clocking CAUSE Internal fault in SD Card. CORRECTION : Drive vehicle to workshop (5min) Economy GB 08:05 to 08:15 = 15 min = 2 units Check operation of SATNAV. Not operating. Economy GB 08:15 to 08:25 = 15 min = 2 units Reboot ECU radio navigator. Economy GB 08:25 to 08:35 = 15 min = 2 units Check operation of satnav. Still not operating. Economy GB 08:35 to 09:05 = 30 min = 5 units Remove SD Card & attempt to update through naviextras toolbox. Not recognise SD card to update. Economy GB 09:05 to 09:45 = 30 min = 5 units Lookup SD card through spare parts and see availability. In stock. Update ECU radio navigator through USB. Economy GB 09:45 to 10:00 = 15 min = 2 units Fit new SD card & check operation. Ok.
DISPLAY,SHORT CIRCUIT,MONITOR,1,1069.09,"COMPLAIN THE RADIO MONITOR DOES NOT LIGHT UP, THE DEVICE IS PLAYING, BUT I CAN'T CONTROL VOLUME AND POWER OFF, CAUSE SHORT CIRCUIT CORRECTION DIAGNOSTICS, control and measurement of electrical installation, display fault detected, exchange, test"
DISPLAY,SHORT CIRCUIT,MONITOR,2,1118.071589,COMPLAINT RADIO STARTS TO WHISTLE AND TURNS OFF CPRZ INTERNAL ELECTRICAL MONITOR FAULT CORRECTION REPLACEMENT OF MONITOR
DISPLAY,LEVEL INCORRECT,ECU RADIONAVIGATOR,0,18.625,COMPLAINT REVERSE CAMERA DROPPING OUT INTERMITANTLY. CAUSE REVERSE CAMERA DROPPING OUT SOFTWARE UPDATE REQUIRED. CORRECTION CARRIED OUT SOFTWARE UPDATE
DISPLAY,DEFECTIVE CONTACTS,ECU RADIONAVIGATOR,0,80.5,"RECL VARIOUS ERROR MESSAGES REASON SOFTWARE IS FAULTY CORRECTION DIAGNOSIS, PROGRAMMING NEW SOFTWARE WITH TELSESERVICE"
DISPLAY,BLOCKAGE,ECU RADIONAVIGATOR,0,57.6,RECL NAVI TEMPORARILY UNAVAILABLE REASON UPDATE AVAILABLE CORRECTION UPDATE UPLOADED
DISPLAY,DEFECT,ECU RADIONAVIGATOR,1,2232.15,"COMPLAINT Check and rectify GPS maps not working CAUSE Radio control unit faulty CORRECTION Checked maps operation n/w Swapped the radio control unit with other vehicle, checked operation okay. Removed and replaced the control unit, programmed the radio, checked all operations okay."
DISPLAY,SHORT CIRCUIT,INDICATOR,1,260.8,INCIDENT THE CUSTOMER REPORTS A GPS MALFUNCTION WITH HIS TELEPHONE CAUSE FOLLOWING THE CT AND DIAG OF THE CIRCUITS THE FAULT COMES FROM THE USB PORT WHICH DOES NOT WORK -ECONOMY = TIME OF CT OF THE MALFUNCTION OF THE FAULT REPORTED + CT OF THE CIRCUITS HARNESS AND CONNECTION AND REPLACEMENT OF THE USB PORT SOLUTION REPLACEMENT OF THE USB PORT
DISPLAY,ADJUSTMENT,MONITOR,0,84.11,"COMPLAINT Iphone keeps disconnecting when connected to the niche CAUSE niche needs to be updated CORRECTION read out and clear faults, check parameters, check USB ports, update niche, check + test connect iphone ok"
DISPLAY,DEFECT,MONITOR,2,911.32,"COMPLAINT Mobile phone does not connect to Bluetooth, or if connected, then phone call receiver does not hear, what speaker say CAUSE Mobile phone does not connect to Bluetooth, or if connected, then phone call receiver does not hear, what speaker say - defect in NIS CORRECTION NIS monitor replaced"
DISPLAY,DEFECT,MONITOR,0,416.33,"COMPLAINT Multimedia player drawing power at all times even when vehicle turned off, trying to update but failing. Keeps restarting itself under use. CAUSE Diagnose with computer Troubleshoot unit and cables Update multimedia play with workshop computer CORRECTION Update multimedia player After control - now working as it should. Economy: Troubleshoot. Update- not carried out through workshop computer so took time to find and prepare files. Multiple attempts failed. After control"
DISPLAY,DEFECTIVE CONTACTS,MONITOR,0,49.5,"COMPLAINT RADIO HEATS UP AND TURN OFF CAUSE MONITOR WITH BAD CONTACT CORRECTION D-R MONITOR CHECK WIRING AND ELECTRICAL CONTACTS, REPAIR PLUG CONNECTIONS."
DISPLAY,DEFECT,MONITOR,2,1035.84,"COMPLAINT radio cuts out - only start screen with jawla on CAUSE niche defective CORRECTION read out and erase faults, check parameters, check wiring and contacts, replace niche + program new niche, check ok"
DISPLAY,DEFECTIVE CONTACTS,MONITOR,0,40.628635,COMPLAINT SOMETIMES NO TOUCH CONTROL POSSIBILITY CPRZ FAULTY SOFTWARE CORRECTION PERFORMING NIS RADIO UPDATE
DISPLAY,DEFECTIVE CONTACTS,MONITOR,0,550,"RECL DAB is not working REASON Ticket 106299691 - new data set received CORRECTION Error codes, control units read out. Software versions checked. EPS and NIS updated. The app does not work with NIS. Ticket 106299691 replaced due to TPMS and all requests processed. 2 COINS for 68.00 euros each."
DISPLAY,DEFECTIVE CONTACTS,MONITOR,2,833.35,DAMAGE TYPE RADIO SWITCHES ON BY ITSELF CAUSE 5802243444 MONITOR CORRECTION 295572104 NIS DIAGNOSIS 295501104 PREPARATION UDT STATION 281011102 S-R DISPLAY MONITOR 295572154 NIS SYSTEM PROGRAMMING
DISPLAY,DEFECT,MONITOR,2,981.65,CLAIM radio failure CAUSE internal radio defect SOLUTION D-M MONITOR SCREEN U.D.T. STATION PREPARATION NIS DIAGNOSIS NIS SYSTEM PROGRAMMING CABIN ELECTRICAL INSTALLATION
DISPLAY,"CONTROL,VERIFICATION",MONITOR,4,534.18,RECL USB connection in the radio o.F. REASON Vehicle is incorrectly prepared CORRECTION Check monitor
DISPLAY,DEFECTIVE CONTACTS,MONITOR,1,948.89,RECL RADIO SPORADICALLY WITHOUT FUNCTION REASON MONITOR DEFECTIVE INSIDE CORRECTION RADIO AND MONITOR CHECKED; WIRING MEASURED; MONITOR A-E ERN:
DISPLAY,DEFECT,MONITOR,2,1074.494407,COMPLAINT The radio turns on automatically after closing any door CPRZ No communication between the NIS controller and the DAB digital audio transmission antenna CORRECTION Replacement of the NIS controller
DISPLAY,SHORT CIRCUIT,MONITOR,2,928.25,INCIDENT HI CONNECT CUTTING OUT FROM TIME TO TIME CAUSE SHORT CIRCUIT SOLUTIONCONTROL EFFICIENCY OF GROUND CABLESCONTROL EFFICIENCY OF ELECTRICAL INST. CONNECTION CONTACTSD-R MONITOR SCREENSTATION PREPARATION U.D.T.NIS DIAGNOSIS EXCEPT STATION PREPARATIONNIS SYSTEM PROGRAMMINGFOLLOWING DIAGNOSIS OR REPLACEMENTTELEPROGRAMMINGREADING FAULT MEMORY AND DELETINGEXCEPT STATION PREPARATION
DISPLAY,SHORT CIRCUIT,MONITOR,2,992.41,"COMPLAIN sometimes the radio turns on or off by itself CAUSE ,SHORT CIRCUIT CORRECTION diagnostics , tests, control and measurement of electricity installation, radio fault detected, replacement, repair of electrical installation, programming, function test"
DISPLAY,INTERFERENCE,MONITOR,0,37.98,"COMPLAINT RADIO SIDE NOT CONNECTED TO PHONE CAUSE RESET RADIO CORRECTION DIAGNOSIS, TRIED BY MYSELF => NOT OK. CHECK WIRING, FUSES. RESET RADIO AND TEST => OK"
DISPLAY,SHORT CIRCUIT,MONITOR,2,1837.64,"RECL Radio turns on by itself after leaving and locking the car after 5, 10, 30 minutes, then the battery is empty in the morning. Once while driving the interior lighting in the driver's cab turned on by itself REASON electrical fault NIS CORRECTION The power supply, the wiring and the plug connections were checked visually, the software update was downloaded in IWD and uploaded to the NIS, THD 106141731 was written, parameter recordings and videos were made and sent to the THD, the plug connections and the wiring between the NIS monitor and the USB socket were checked, parts of the panels and the NIS monitor were removed and installed, the NIS monitor was replaced and the replacement was confirmed via UDT, functions were checked, battery was fully charged. See THD for work required, I have summarized it in Economy 50"
DISPLAY,DEFECTIVE CONTACTS,MONITOR,2,144.9,"RECL DAB is not working REASON Ticket 106299691 - new data set received CORRECTION Error codes, control units read out. Software versions checked. EPS and NIS updated. The app does not work with NIS. Ticket 106299691 replaced due to TPMS and all requests processed. 2 COINS for 63.00 euros each."
DISPLAY,SHORT CIRCUIT,MONITOR,2,1045.41,INCIDENT VEHICLE DOES NOT START AFTER 2 DAYS CAUSE EXCESSIVE CURRENT CONSUMPTION OF THE MONITOR SOLUTION CONSUMER CHECK REPLACEMENT AND PROGRAMMING OF THE MONITOR
DISPLAY,DEFECTIVE CONTACTS,MONITOR,3,963.31,TYPE_DANNO CAR RADIO DOES NOT WORK CAUSE FAILURE SEARCH.CAR RADIO CHECK.CAR RADIO HS CORRECTION D-R MONITOR SCREEN.REPLACEMENTPREPARATION U.D.T. STATION.CAR RADIO PROGRAMMINGFOLLOWING DIAGNOSIS OR REPLACEMENT.CHECK OK
DISPLAY,INCORRECT ADJUSTMENT,MONITOR,0,73.2,RECL Radio cannot be switched on. NIS is not working. Description of the error in the display Update failed REASON NIS software error CORRECTION New software downloaded and software installed. Functional test carried out.
DISPLAY,BREAK,MONITOR,2,1431.69,"Goals Radio does not work Cause Error on monitor Change - Checked schedules, nothing current. - Performed diagnosis on the radio, - Measured and checked cables canbus, no errors. - Performed count reset, no difference. - Tried reprogramming the radio, doesn't work. - Ordered new monitor, replaced and tested. Ok, radio works. - ECONOMY50= Troubleshooting, measuring cabling."
DISPLAY,DEFECT,MONITOR,1,1008.56,RECL Radio not working REASON NIS system defective CORRECTION Radio renewed and programmed
DISPLAY,DEFECTIVE CONTACTS,MONITOR,3,944.31,TYPE_DAMAGE CAR RADIO DOES NOT WORK CAUSE CAR RADIO POWER CHECK. CAR RADIO HS. CORRECTION D-R MONITOR SCREEN.REPLACEMENTCAR RADIO PROGRAMMINGFOLLOWING DIAGNOSIS OR REPLACEMENT.TEST OK
DISPLAY,DEFECT,MONITOR,0,114.209116,Error Black screen on radio Reason am/pm of radio to check bad connection Correction Bad connection found and fixed
DISPLAY,INTERFERENCE,MONITOR,0,156.8,"COMPLAINT APPLE PLAY DOES NOT WORK CAUSE RESET RADIO CORRECTION DIAGNOSIS, CHECK FUNCTIONING, CHECK FUNCTIONING, WIRING, SETTINGS => EVERYTHING TRIED WITHOUT SUCCESS => FINALLY DID A HARD RESET AND RESTARTED STARTED => OK"
DISPLAY,DEFECT,MONITOR,2,1001.96,"COMPLAINT Vehicle loosing battery charge non stop while negine is not working CAUSE Defective monitor radio deplete battery charge CORRECTION Replace monitor radio, programming, economy - 5 wu - inspect installation, detect fault"
DISPLAY,MISFIRE,MONITOR,2,1011.09,"COMPLAINT RADIO NO LONGER WORKS CAUSE IRREGULAR OPERATION CORRECTION MESSAGE SOFTWARE UPDATE FAILED ON NIS SCREEN. FURTHERMORE, SYSTEM IS NO LONGER RESPONDING. ETIM CONSULTED, KNOWLEDGE ARTICLE 4903 FOUND, PR OCEDURE FOLLOWED FROM KA4903. SOFTWARE DOWNLOADED FROM IWD THIS TOOK A VERY LONG TIME. USB STICK FORMATTED AND EVERYTHING UNPACKED. TRY TO PERFORM UPDATE ON NIS WITH USB STICK. THIS FAILED, ASSIST MADE ADVICE FROM THD 106282467. WITH UDT CARRY OUT A FALSE REPLACEMENT. THIS ALSO FAILS, NO RESPONSE FROM NIS. ASSIST SUPPLEMENTED, NOW ADVICE REPLACE HEAD UNIT RADIO UNIT REPLACED AND PROGRAMMED. COSTS 1 COIN. OLD UNIT RETURNED FOR WARRANTY. PREPARATION STATION U.D.T. DIAGNOSIS NIS PROGRAMMING INSTALLATION NI COUNTER SERVICE U-I DISPLAY MONITOR PROCEDURE KA4903 CARRIED OUT. WITH UDT CARRY OUT A FALSE REPLACEMENT. IN CONJUNCTION WITH THD"
DISPLAY,DEFECT,MONITOR,1,987.71,"COMPLAINT The vehicle draws electricity if the switch is not switched off for two days. CAUSE The vehicle was pulling electricity somewhere. It was found to be happening on the radio. It draws as much as 1-1.5A from the battery. By disconnecting the connector from the radio, this value drops to 0.02A. CORRECTION Radio monitor was replaced. economy: installation checking, electric power consumptation checking, fault detection."
DISPLAY,SHORT CIRCUIT,MONITOR,2,914.42,"COMPLAINT Customer claims that monitor display is not working CAUSE After vehicle inspection was identified that monitor is not working, no longer operative and is shorted CORRECTION Replace monitor"
DISPLAY,ADJUSTMENT,MONITOR,0,32.35,"COMPLAINT Bluetooth sometimes drops out, GPS sometimes not available CAUSE NIS needs to be updated CORRECTION read and clear faults, check parameters, update niche"
DISPLAY,DEFECTIVE CONTACTS,WIRE/CABLE,0,301,RECL DETERMINE AND CORRECT REVERSING CAMERA ERROR REASON CONSTANTLY FAILS - DOES NOT TURN ON CORRECTION CHECK ENTIRE WIRING HARNESS REPAIR WIRING
DISPLAY,DEFECT,WIRE/CABLE,3,384.155496,Error Carplay drops out Reason Wire to radio is defective. Wire for radio not found in SRT Correction Reading out errors. Display removed and installed Wire to radio replaced. = economy carplay connector replaced = economy
DISPLAY,DEFECT,MONITOR,2,955.268456,"COMPLAINT Problem with navigation (last update did not help) CPRZ NIS INCORRECT - MULTIPLE UPDATE ATTEMPTS (WITHOUT RESULTS) CORRECTION NIS REPLACEMENT, PROGRAMMING AFTER REPLACEMENT"
DISPLAY,DEFECT,MONITOR,3,1125.73,INCIDENT GPS PROBLEM (ENGLISH) CAUSE INTERNAL FAULT SOLUTION TROUBLESHOOTING. GO TO DIAGNOSIS. TEST REPROGRAMMING AND RESET. IDENTICAL FAULT. CHECK ANTENNA WIRE OK. REPLACE MONITOR WITH ANTENNA. TEST OK TIME ECONOMY = MULTIPLE TEST OF REPROGRAMMING AND RESET
DISPLAY,DEFECT,MONITOR,2,1014.114093,"COMPLAINT the display on the radio does not work, black screen CPRZ internal damage to the monitor CORRECTION checking, replacing and programming the radio"
DISPLAY,DEFECT,MONITOR,3,1285.05,INCIDENT BLACK LINE PRESENT ON GPS SCREEN CAUSE MONITOR DISPLAY FAULT SOLUTION U.D.T DIAGNOSIS MASS CHECK. CONNECTION CHECK. CAR RADIO-JAWLANNECT REMOVAL. JAWLANNECT REPLACEMENT. PROGRAMMING WITH TELESERVICE TOKEN.
DISPLAY,BLOCKAGE,MONITOR,2,942.82,"CLAIM INTERNAL BLOCKING NIS HANGS CAUSE INTERNAL BLOCKING NIS HANGS SOLUTION DISASSEMBLE POWER TAKE-OFF, DISASSEMBLE, INSTALL NEW POWER TAKE-OFF, CORRECT OIL LOSS DUE TO ENGINE OIL FILTER, CHANGING RUBBER SEAL, FILLING ENGINE OIL, EDC SANYTI DIAGNOSIS, REGENERATION AND ATS ONE ROART TEST, CHECK LIGHTS, REAR LIGHTS FAIL THE CUSTOMER DID NOT CHANGE THEM BECAUSE THEY WERE TOO EXPENSIVE"
DISPLAY,DEFECTIVE CONTACTS,MONITOR,1,1067.85,INCIDENT Screen turns on and off by itself CAUSE Internal electrical fault screen SOLUTION Reading faults - fuse check - connection check - partial removal of TB - electrical harness status check - screen replacement - es saiea near work OK
DISPLAY,LOW OUTPUT/EFFICIENCY,MONITOR,3,1135.35,INCIDENT THE CAR RADIO CUTS OFF BY ITSELF CAUSE POOR CAR RADIO PERFORMANCE SOLUTION CAR RADIO DIAG--POWER AND GROUND CIRCUIT CHECK CAR RADIO--BATTERY DISCONNECT TO CHECK CAR RADIO HARNESS CONTINUITY--DRIVE ON THE ROAD WITH A LAMP CONNECTED IN PLACE OF THE CAR RADIO TO SEE IF THE CUT-OFF IS OK SO NOT HS--REPLACEMENT AND PROGRAMMING--CHECK AFTER REPAIR OK
DISPLAY,DEFECT,MONITOR,1,1337.162163,RECL A WHISTLE SPORADICALLY COMES FROM THE RADIO. REASON CARRY OUT A TEST DRIVE AND SUDDENLY THIS WHISTLE SOUND COMES FROM THE SPEAKERS ON THE LEFT AND RIGHT. THE RADIO (NIS) CAN NO LONGER BE USED. THE DEVICE SWITCHES OFF AFTER APPROXIMATELY THREE MINUTES AND WORKS AGAIN. CORRECTION REPLACE AND PROGRAM NIS. UNLOCK MAP MATERIAL. FUNCTION CHECK. RB
DISPLAY,SHORT CIRCUIT,MONITOR,2,1232.117119,"RECLAIM NIS DISPLAY NOT FUNCTIONAL REASON DISPLAY SHORT CIRCUIT CORRECTION READ ERROR, DELETE DIAGNOSIS REPLACE DISPLAY"
DISPLAY,SHORT CIRCUIT,MONITOR,3,1183.85,INCIDENT NIS IS NOT WORKING CORRECTLY--UNABLE TO FINISH PDI CAUSE NIS SHORT CIRCUIT SOLUTION NIS POWER AND GROUND CIRCUIT CHECK--NIS DIAG--NIS FAULT--BATTERY DISCONNECT TO NIS POWER HARNESS CHECK RAS--REPLACEMENT AND PROGRAMMING NEW NIS--CHECK AFTER REPAIR OK
DISPLAY,SHORT CIRCUIT,MONITOR,2,1087.85,INCIDENT RADIO DOES NOT WORK CAUSE SHORT CIRCUIT MONITOR SCREEN SOLUTION radio does not workSHORT CIRCUITCONTR.EFFICIENCY GROUND CABLESCONTR.EFFICIENCY CONTACTS CONNECTION ELECTRICAL INST.D-R MONITOR SCREENPROG RAMMATION SYSTEM NISAFOLLOWING DIAGNOSIS OR REPLACEMENTREMOTE PROGRAMMING
DISPLAY,DEFECT,MONITOR,3,1007.85,INCIDENT GAUGE LINE ON THE CAR RADIO SCREEN CAUSE FAULT SOLUTION D-R MONITOR SCREEN U.D.T. STATION PREPARATIONNIS DIAGNOSIS EXCEPT STATION PREPARATIONNIS SYSTEM PROGRAMMINGFOLLOWING DIAGNOSTIC OR REPLACEMENTTELEPROGRAMMING
DISPLAY,DEFECT,MONITOR,0,7.418344,"COMPLAINT radio hangs, black screen CPRZ software update required CORRECTION radio update"
DISPLAY,DEFECTIVE CONTACTS,MONITOR,10,1188.71,"RECL after connecting the battery, hi connect does not come on and various bulbs are burned out REASON when charging the battery and checking the battery test, the hi connect control unit and bulbs are burned out CORRECTION diagnosis and findings, hi connect a-e renewed and programmed, bulbs renewed, both low beam and high beam, all 4 indicator bulbs renewed"
DISPLAY,LOW OUTPUT/EFFICIENCY,MONITOR,0,45.8,INCIDENT CAR RADIO CUTS OUT (TPS: .10) CAUSE POOR CAR RADIO EFFICIENCY MODULE TEST AND MEMORY CLEARING FAULTS SOLUTION car radio cuts out (Time: .10) STATION PREPARATION U.D.T. (Time: .20) MODULE TEST AND MEMORY CLEARING FAULTS EXCEPT STATION PREPARATION (Time: .10) CAR RADIO DIAGNOSIS EXCEPT STATION PREPARATION (Time: .10) CAR RADIO PROGRAMMING FOLLOWING DIAGNOSTIC OR REPLACEMENT
DISPLAY,DEFECT,MONITOR,1,1253.108108,"RECL Radio switches off sporadically REASON Radio internally defective CORRECTION Check power supply, internal defect, replace radio and program with UDT"
DISPLAY,MISFIRE,MONITOR,2,1057.26,COMPLAINT RADIO CHECK - VOLUME KNOB DOES NOT WORK CAUSE DEVICE OFTEN ASKS FOR RADIO CODE PROBLEM WITH THE MONITOR ITSELF CORRECTION REPLACING THE MONITOR + REPLACEMENT PROCEDURE
DISPLAY,SHORT CIRCUIT,MONITOR,3,1028.62,"COMPLAINT CHECK RADIO, IT TURN OFF BY ITSELF CAUSE 124. THE SCREEN TURN ON AND OFF BY ITSELF INTERMITTENTLY. INTERNAL POWER SUPPLY FAILURE SOLUTION REPLACE RADIO SCREEN, PROGRAM HICONNECT THROUGH TELESERVICES."
DISPLAY,DEFECTIVE CONTACTS,MONITOR,2,975.7,DAMAGE TYPE RADIO SWITCHES OFF WHILE DRIVING CAUSE FAULTY CONNECTION CONTACTS MONITOR CORRECTION CHECK FAULT - SYSTEM DIAGNOSIS - SYSTEM CHECK ELECTRIC - MONITOR DOES NOT TURN ON - REPLACED AND PROGRAMMED VIA TELESERVICES - FINAL CHECK CORRECT OPERATION
